security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange,upper_limit,lower_limit,expiry_date,strike_price,freeze_quantity
64255,NIFTY-Dec2023-16500-PE,NIFTY 28 DEC 16500 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16500,1801
64256,NIFTY-Dec2023-16550-CE,NIFTY 28 DEC 16550 CALL,,5,50,OPTIDX,D,NSE,5159.6,4092.4,28-12-2023 14:00,16550,1801
64257,NIFTY-Dec2023-16550-PE,NIFTY 28 DEC 16550 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16550,1801
64258,NIFTY-Dec2023-16600-CE,NIFTY 28 DEC 16600 CALL,,5,50,OPTIDX,D,NSE,5109.7,4042.5,28-12-2023 14:00,16600,1801
64259,NIFTY-Dec2023-16600-PE,NIFTY 28 DEC 16600 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16600,1801
64260,NIFTY-Dec2023-16650-CE,NIFTY 28 DEC 16650 CALL,,5,50,OPTIDX,D,NSE,5059.75,3992.55,28-12-2023 14:00,16650,1801
64261,NIFTY-Dec2023-16650-PE,NIFTY 28 DEC 16650 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16650,1801
64262,NIFTY-Dec2023-16700-CE,NIFTY 28 DEC 16700 CALL,,5,50,OPTIDX,D,NSE,5009.85,3942.65,28-12-2023 14:00,16700,1801
64263,NIFTY-Dec2023-16700-PE,NIFTY 28 DEC 16700 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16700,1801
64264,NIFTY-Dec2023-16750-CE,NIFTY 28 DEC 16750 CALL,,5,50,OPTIDX,D,NSE,4959.95,3892.75,28-12-2023 14:00,16750,1801
64265,NIFTY-Dec2023-16750-PE,NIFTY 28 DEC 16750 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16750,1801
64266,NIFTY-Dec2023-16800-CE,NIFTY 28 DEC 16800 CALL,,5,50,OPTIDX,D,NSE,4910,3842.8,28-12-2023 14:00,16800,1801
64267,NIFTY-Dec2023-16800-PE,NIFTY 28 DEC 16800 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16800,1801
64268,NIFTY-Dec2023-16850-CE,NIFTY 28 DEC 16850 CALL,,5,50,OPTIDX,D,NSE,4860.1,3792.9,28-12-2023 14:00,16850,1801
64269,NIFTY-Dec2023-16850-PE,NIFTY 28 DEC 16850 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16850,1801
64270,NIFTY-Dec2023-16900-CE,NIFTY 28 DEC 16900 CALL,,5,50,OPTIDX,D,NSE,4810.15,3742.95,28-12-2023 14:00,16900,1801
64271,NIFTY-Dec2023-16900-PE,NIFTY 28 DEC 16900 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16900,1801
64272,NIFTY-Dec2023-16950-CE,NIFTY 28 DEC 16950 CALL,,5,50,OPTIDX,D,NSE,4760.25,3693.05,28-12-2023 14:00,16950,1801
64273,NIFTY-Dec2023-16950-PE,NIFTY 28 DEC 16950 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,16950,1801
64274,NIFTY-Dec2023-17050-CE,NIFTY 28 DEC 17050 CALL,,5,50,OPTIDX,D,NSE,4660.4,3593.2,28-12-2023 14:00,17050,1801
64275,NIFTY-Dec2023-17050-PE,NIFTY 28 DEC 17050 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17050,1801
64276,NIFTY-Dec2023-17100-CE,NIFTY 28 DEC 17100 CALL,,5,50,OPTIDX,D,NSE,4610.45,3543.25,28-12-2023 14:00,17100,1801
64277,NIFTY-Dec2023-17100-PE,NIFTY 28 DEC 17100 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17100,1801
64278,NIFTY-Dec2023-17150-CE,NIFTY 28 DEC 17150 CALL,,5,50,OPTIDX,D,NSE,4560.55,3493.35,28-12-2023 14:00,17150,1801
64279,NIFTY-Dec2023-17150-PE,NIFTY 28 DEC 17150 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17150,1801
64280,NIFTY-Dec2023-17200-CE,NIFTY 28 DEC 17200 CALL,,5,50,OPTIDX,D,NSE,4510.65,3443.45,28-12-2023 14:00,17200,1801
64281,NIFTY-Dec2023-17200-PE,NIFTY 28 DEC 17200 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17200,1801
64282,NIFTY-Dec2023-17250-CE,NIFTY 28 DEC 17250 CALL,,5,50,OPTIDX,D,NSE,4460.7,3393.5,28-12-2023 14:00,17250,1801
64283,NIFTY-Dec2023-17250-PE,NIFTY 28 DEC 17250 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17250,1801
64439,NIFTY-Dec2023-17300-CE,NIFTY 28 DEC 17300 CALL,,5,50,OPTIDX,D,NSE,4410.8,3343.6,28-12-2023 14:00,17300,1801
64440,NIFTY-Dec2023-17300-PE,NIFTY 28 DEC 17300 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17300,1801
64443,NIFTY-Dec2023-17350-CE,NIFTY 28 DEC 17350 CALL,,5,50,OPTIDX,D,NSE,4359.4,3292.2,28-12-2023 14:00,17350,1801
64444,NIFTY-Dec2023-17350-PE,NIFTY 28 DEC 17350 PUT,,5,50,OPTIDX,D,NSE,4.5,0.05,28-12-2023 14:00,17350,1801
64453,NIFTY-Dec2023-17400-CE,NIFTY 28 DEC 17400 CALL,,5,50,OPTIDX,D,NSE,4309.45,3242.25,28-12-2023 14:00,17400,1801
64454,NIFTY-Dec2023-17400-PE,NIFTY 28 DEC 17400 PUT,,5,50,OPTIDX,D,NSE,4.4,0.05,28-12-2023 14:00,17400,1801
64457,NIFTY-Dec2023-17450-CE,NIFTY 28 DEC 17450 CALL,,5,50,OPTIDX,D,NSE,4259.55,3192.35,28-12-2023 14:00,17450,1801
64458,NIFTY-Dec2023-17450-PE,NIFTY 28 DEC 17450 PUT,,5,50,OPTIDX,D,NSE,3.05,0.05,28-12-2023 14:00,17450,1801
64695,NIFTY-Dec2023-17550-CE,NIFTY 28 DEC 17550 CALL,,5,50,OPTIDX,D,NSE,4159.7,3092.5,28-12-2023 14:00,17550,1801
64696,NIFTY-Dec2023-17550-PE,NIFTY 28 DEC 17550 PUT,,5,50,OPTIDX,D,NSE,4.5,0.05,28-12-2023 14:00,17550,1801
64697,NIFTY-Dec2023-17600-CE,NIFTY 28 DEC 17600 CALL,,5,50,OPTIDX,D,NSE,4109.7,3042.6,28-12-2023 14:00,17600,1801
64698,NIFTY-Dec2023-17600-PE,NIFTY 28 DEC 17600 PUT,,5,50,OPTIDX,D,NSE,5.2,0.05,28-12-2023 14:00,17600,1801
64699,NIFTY-Dec2023-17650-CE,NIFTY 28 DEC 17650 CALL,,5,50,OPTIDX,D,NSE,4059.8,2992.7,28-12-2023 14:00,17650,1801
64700,NIFTY-Dec2023-17650-PE,NIFTY 28 DEC 17650 PUT,,5,50,OPTIDX,D,NSE,4.7,0.05,28-12-2023 14:00,17650,1801
64701,NIFTY-Dec2023-17700-CE,NIFTY 28 DEC 17700 CALL,,5,50,OPTIDX,D,NSE,4009.85,2942.75,28-12-2023 14:00,17700,1801
64707,NIFTY-Dec2023-17700-PE,NIFTY 28 DEC 17700 PUT,,5,50,OPTIDX,D,NSE,5.1,0.05,28-12-2023 14:00,17700,1801
64708,NIFTY-Dec2023-17750-CE,NIFTY 28 DEC 17750 CALL,,5,50,OPTIDX,D,NSE,3959.95,2892.85,28-12-2023 14:00,17750,1801
64709,NIFTY-Dec2023-17750-PE,NIFTY 28 DEC 17750 PUT,,5,50,OPTIDX,D,NSE,4.95,0.05,28-12-2023 14:00,17750,1801
64710,NIFTY-Dec2023-17800-CE,NIFTY 28 DEC 17800 CALL,,5,50,OPTIDX,D,NSE,3910,2842.9,28-12-2023 14:00,17800,1801
64711,NIFTY-Dec2023-17800-PE,NIFTY 28 DEC 17800 PUT,,5,50,OPTIDX,D,NSE,4.9,0.05,28-12-2023 14:00,17800,1801
64712,NIFTY-Dec2023-17850-CE,NIFTY 28 DEC 17850 CALL,,5,50,OPTIDX,D,NSE,3860.1,2793,28-12-2023 14:00,17850,1801
64716,NIFTY-Dec2023-17850-PE,NIFTY 28 DEC 17850 PUT,,5,50,OPTIDX,D,NSE,4.5,0.05,28-12-2023 14:00,17850,1801
64717,NIFTY-Dec2023-17900-CE,NIFTY 28 DEC 17900 CALL,,5,50,OPTIDX,D,NSE,3810.15,2743.05,28-12-2023 14:00,17900,1801
64718,NIFTY-Dec2023-17900-PE,NIFTY 28 DEC 17900 PUT,,5,50,OPTIDX,D,NSE,4.45,0.05,28-12-2023 14:00,17900,1801
64719,NIFTY-Dec2023-17950-CE,NIFTY 28 DEC 17950 CALL,,5,50,OPTIDX,D,NSE,3760.25,2693.15,28-12-2023 14:00,17950,1801
64720,NIFTY-Dec2023-17950-PE,NIFTY 28 DEC 17950 PUT,,5,50,OPTIDX,D,NSE,4.75,0.05,28-12-2023 14:00,17950,1801
64721,NIFTY-Dec2023-18050-CE,NIFTY 28 DEC 18050 CALL,,5,50,OPTIDX,D,NSE,3660.4,2593.3,28-12-2023 14:00,18050,1801
64722,NIFTY-Dec2023-18050-PE,NIFTY 28 DEC 18050 PUT,,5,50,OPTIDX,D,NSE,4.8,0.05,28-12-2023 14:00,18050,1801
64723,NIFTY-Dec2023-18100-CE,NIFTY 28 DEC 18100 CALL,,5,50,OPTIDX,D,NSE,3610.45,2543.35,28-12-2023 14:00,18100,1801
64726,NIFTY-Dec2023-18100-PE,NIFTY 28 DEC 18100 PUT,,5,50,OPTIDX,D,NSE,5.25,0.05,28-12-2023 14:00,18100,1801
64727,NIFTY-Dec2023-18150-CE,NIFTY 28 DEC 18150 CALL,,5,50,OPTIDX,D,NSE,3560.55,2493.45,28-12-2023 14:00,18150,1801
64730,NIFTY-Dec2023-18150-PE,NIFTY 28 DEC 18150 PUT,,5,50,OPTIDX,D,NSE,5.1,0.05,28-12-2023 14:00,18150,1801
64731,NIFTY-Dec2023-18200-CE,NIFTY 28 DEC 18200 CALL,,5,50,OPTIDX,D,NSE,3487.9,2420.8,28-12-2023 14:00,18200,1801
64748,NIFTY-Dec2023-18200-PE,NIFTY 28 DEC 18200 PUT,,5,50,OPTIDX,D,NSE,5.55,0.05,28-12-2023 14:00,18200,1801
64749,NIFTY-Dec2023-18250-CE,NIFTY 28 DEC 18250 CALL,,5,50,OPTIDX,D,NSE,3460.7,2393.6,28-12-2023 14:00,18250,1801
64750,NIFTY-Dec2023-18250-PE,NIFTY 28 DEC 18250 PUT,,5,50,OPTIDX,D,NSE,4.9,0.05,28-12-2023 14:00,18250,1801
64751,NIFTY-Dec2023-18300-CE,NIFTY 28 DEC 18300 CALL,,5,50,OPTIDX,D,NSE,3410.75,2343.65,28-12-2023 14:00,18300,1801
64780,NIFTY-Dec2023-18300-PE,NIFTY 28 DEC 18300 PUT,,5,50,OPTIDX,D,NSE,5,0.05,28-12-2023 14:00,18300,1801
64781,NIFTY-Dec2023-18350-CE,NIFTY 28 DEC 18350 CALL,,5,50,OPTIDX,D,NSE,3360.85,2293.75,28-12-2023 14:00,18350,1801
64782,NIFTY-Dec2023-18350-PE,NIFTY 28 DEC 18350 PUT,,5,50,OPTIDX,D,NSE,5.35,0.05,28-12-2023 14:00,18350,1801
64783,NIFTY-Dec2023-18400-CE,NIFTY 28 DEC 18400 CALL,,5,50,OPTIDX,D,NSE,3310.9,2243.8,28-12-2023 14:00,18400,1801
64784,NIFTY-Dec2023-18400-PE,NIFTY 28 DEC 18400 PUT,,5,50,OPTIDX,D,NSE,6.3,0.3,28-12-2023 14:00,18400,1801
64785,NIFTY-Dec2023-18450-CE,NIFTY 28 DEC 18450 CALL,,5,50,OPTIDX,D,NSE,3260.95,2193.85,28-12-2023 14:00,18450,1801
64786,NIFTY-Dec2023-18450-PE,NIFTY 28 DEC 18450 PUT,,5,50,OPTIDX,D,NSE,5.45,0.05,28-12-2023 14:00,18450,1801
64787,NIFTY-Dec2023-18500-PE,NIFTY 28 DEC 18500 PUT,,5,50,OPTIDX,D,NSE,5.75,0.05,28-12-2023 14:00,18500,1801
64792,NIFTY-Dec2023-18550-CE,NIFTY 28 DEC 18550 CALL,,5,50,OPTIDX,D,NSE,3161.1,2094,28-12-2023 14:00,18550,1801
64793,NIFTY-Dec2023-18550-PE,NIFTY 28 DEC 18550 PUT,,5,50,OPTIDX,D,NSE,5.1,0.05,28-12-2023 14:00,18550,1801
64794,NIFTY-Dec2023-18600-CE,NIFTY 28 DEC 18600 CALL,,5,50,OPTIDX,D,NSE,3111.2,2044.1,28-12-2023 14:00,18600,1801
64795,NIFTY-Dec2023-18600-PE,NIFTY 28 DEC 18600 PUT,,5,50,OPTIDX,D,NSE,5.7,0.05,28-12-2023 14:00,18600,1801
64800,NIFTY-Dec2023-18650-CE,NIFTY 28 DEC 18650 CALL,,5,50,OPTIDX,D,NSE,3061.25,1994.15,28-12-2023 14:00,18650,1801
64801,NIFTY-Dec2023-18650-PE,NIFTY 28 DEC 18650 PUT,,5,50,OPTIDX,D,NSE,5.8,0.05,28-12-2023 14:00,18650,1801
64814,NIFTY-Dec2023-18700-CE,NIFTY 28 DEC 18700 CALL,,5,50,OPTIDX,D,NSE,2975.25,1908.15,28-12-2023 14:00,18700,1801
64815,NIFTY-Dec2023-18700-PE,NIFTY 28 DEC 18700 PUT,,5,50,OPTIDX,D,NSE,5.5,0.05,28-12-2023 14:00,18700,1801
64820,NIFTY-Dec2023-18750-CE,NIFTY 28 DEC 18750 CALL,,5,50,OPTIDX,D,NSE,2961.4,1894.3,28-12-2023 14:00,18750,1801
64827,NIFTY-Dec2023-18750-PE,NIFTY 28 DEC 18750 PUT,,5,50,OPTIDX,D,NSE,5.6,0.05,28-12-2023 14:00,18750,1801
64832,NIFTY-Dec2023-18800-CE,NIFTY 28 DEC 18800 CALL,,5,50,OPTIDX,D,NSE,2996.2,1929.1,28-12-2023 14:00,18800,1801
64833,NIFTY-Dec2023-18800-PE,NIFTY 28 DEC 18800 PUT,,5,50,OPTIDX,D,NSE,5.4,0.05,28-12-2023 14:00,18800,1801
64834,NIFTY-Dec2023-18850-CE,NIFTY 28 DEC 18850 CALL,,5,50,OPTIDX,D,NSE,2861.55,1794.45,28-12-2023 14:00,18850,1801
64835,NIFTY-Dec2023-18850-PE,NIFTY 28 DEC 18850 PUT,,5,50,OPTIDX,D,NSE,5.8,0.05,28-12-2023 14:00,18850,1801
64838,NIFTY-Dec2023-18900-CE,NIFTY 28 DEC 18900 CALL,,5,50,OPTIDX,D,NSE,2856.9,1789.8,28-12-2023 14:00,18900,1801
64839,NIFTY-Dec2023-18900-PE,NIFTY 28 DEC 18900 PUT,,5,50,OPTIDX,D,NSE,6,0.05,28-12-2023 14:00,18900,1801
64844,NIFTY-Dec2023-18950-CE,NIFTY 28 DEC 18950 CALL,,5,50,OPTIDX,D,NSE,2813.55,1746.45,28-12-2023 14:00,18950,1801
64845,NIFTY-Dec2023-18950-PE,NIFTY 28 DEC 18950 PUT,,5,50,OPTIDX,D,NSE,6.05,0.05,28-12-2023 14:00,18950,1801
64846,NIFTY-Dec2023-19050-CE,NIFTY 28 DEC 19050 CALL,,5,50,OPTIDX,D,NSE,2703.55,1636.45,28-12-2023 14:00,19050,1801
64847,NIFTY-Dec2023-19050-PE,NIFTY 28 DEC 19050 PUT,,5,50,OPTIDX,D,NSE,5.7,0.05,28-12-2023 14:00,19050,1801
64852,NIFTY-Dec2023-19100-CE,NIFTY 28 DEC 19100 CALL,,5,50,OPTIDX,D,NSE,2646.05,1578.95,28-12-2023 14:00,19100,1801
64853,NIFTY-Dec2023-19100-PE,NIFTY 28 DEC 19100 PUT,,5,50,OPTIDX,D,NSE,6.1,0.1,28-12-2023 14:00,19100,1801
64868,NIFTY-Dec2023-19150-CE,NIFTY 28 DEC 19150 CALL,,5,50,OPTIDX,D,NSE,2562,1494.9,28-12-2023 14:00,19150,1801
64869,NIFTY-Dec2023-19150-PE,NIFTY 28 DEC 19150 PUT,,5,50,OPTIDX,D,NSE,6,0.05,28-12-2023 14:00,19150,1801
64870,NIFTY-Dec2023-19200-CE,NIFTY 28 DEC 19200 CALL,,5,50,OPTIDX,D,NSE,2567.35,1500.25,28-12-2023 14:00,19200,1801
65210,NIFTY-Dec2023-19200-PE,NIFTY 28 DEC 19200 PUT,,5,50,OPTIDX,D,NSE,6,0.05,28-12-2023 14:00,19200,1801
65367,NIFTY-Dec2023-19250-CE,NIFTY 28 DEC 19250 CALL,,5,50,OPTIDX,D,NSE,2527.6,1460.5,28-12-2023 14:00,19250,1801
65368,NIFTY-Dec2023-19250-PE,NIFTY 28 DEC 19250 PUT,,5,50,OPTIDX,D,NSE,6.05,0.05,28-12-2023 14:00,19250,1801
65369,NIFTY-Dec2023-19300-CE,NIFTY 28 DEC 19300 CALL,,5,50,OPTIDX,D,NSE,2446.45,1379.35,28-12-2023 14:00,19300,1801
65370,NIFTY-Dec2023-19300-PE,NIFTY 28 DEC 19300 PUT,,5,50,OPTIDX,D,NSE,6.4,0.4,28-12-2023 14:00,19300,1801
65373,NIFTY-Dec2023-19350-CE,NIFTY 28 DEC 19350 CALL,,5,50,OPTIDX,D,NSE,2362.3,1295.2,28-12-2023 14:00,19350,1801
65374,NIFTY-Dec2023-19350-PE,NIFTY 28 DEC 19350 PUT,,5,50,OPTIDX,D,NSE,5.8,0.05,28-12-2023 14:00,19350,1801
65375,NIFTY-Dec2023-19400-CE,NIFTY 28 DEC 19400 CALL,,5,50,OPTIDX,D,NSE,2372.25,1305.15,28-12-2023 14:00,19400,1801
65376,NIFTY-Dec2023-19400-PE,NIFTY 28 DEC 19400 PUT,,5,50,OPTIDX,D,NSE,6.2,0.2,28-12-2023 14:00,19400,1801
65377,NIFTY-Dec2023-19450-CE,NIFTY 28 DEC 19450 CALL,,5,50,OPTIDX,D,NSE,2262.45,1195.35,28-12-2023 14:00,19450,1801
65378,NIFTY-Dec2023-19450-PE,NIFTY 28 DEC 19450 PUT,,5,50,OPTIDX,D,NSE,6.25,0.25,28-12-2023 14:00,19450,1801
65426,NIFTY-Dec2023-19500-CE,NIFTY 28 DEC 19500 CALL,,5,50,OPTIDX,D,NSE,2269.95,1202.85,28-12-2023 14:00,19500,1801
65427,NIFTY-Dec2023-19500-PE,NIFTY 28 DEC 19500 PUT,,5,50,OPTIDX,D,NSE,6.15,0.15,28-12-2023 14:00,19500,1801
65466,NIFTY-Dec2023-19550-CE,NIFTY 28 DEC 19550 CALL,,5,50,OPTIDX,D,NSE,2162.55,1095.55,28-12-2023 14:00,19550,1801
